2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/v1/chat/stream "HTTP/1.1 405 Method Not Allowed"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/98cb998a-2ff0-47c2-8a3a-723d9b17bbe8 "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/00000000-0000-0000-0000-000000000000 "HTTP/1.1 404 Not Found"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/ad8337a3-9563-466f-a94c-3ad830501a9c "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 400 Bad Request"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/uploads "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/uploads "HTTP/1.1 400 Bad Request"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/auth/token "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/plugin "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/skill "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/cron "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/insights "HTTP/1.1 200 OK"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/update/status "HTTP/1.1 200 OK"
